sample,bestValue,bestWeight,bestFitness,average,time
1,1|3|4|10|13|14|18|22|29|30|35|37|41|42|,119,167,112,0
1,1|3|4|10|13|14|18|22|29|30|35|37|41|42|,119,167,129,22.200896ms
1,1|3|4|10|13|14|18|22|29|30|35|37|41|42|,119,167,136,22.103918ms
1,1|3|4|10|13|14|18|22|29|30|35|37|41|42|,119,167,141,22.309954ms
1,1|3|4|10|13|14|18|22|29|30|35|37|41|42|,119,167,145,22.123387ms
1,1|3|4|10|18|22|29|30|35|37|38|41|42|,118,172,149,22.095131ms
1,1|3|4|10|18|22|29|30|35|37|38|41|42|,118,172,154,22.105106ms
1,1|3|4|10|18|22|29|30|35|37|38|41|42|,118,172,158,22.098954ms
1,4|10|18|22|29|30|32|35|37|41|42|,118,179,162,22.17018ms
1,1|4|8|9|10|13|18|22|28|29|30|35|37|41|42|,113,179,165,22.143264ms
1,1|4|8|9|10|13|18|22|28|29|30|35|37|41|42|,113,179,166,22.101009ms
1,1|4|10|13|14|18|22|29|30|35|37|40|42|,120,189,168,22.073152ms
1,1|4|8|10|12|15|18|22|29|30|34|38|41|42|,113,190,171,22.198283ms
1,1|4|8|10|13|18|22|28|29|30|34|35|41|42|,118,192,175,22.109486ms
1,1|4|8|10|13|18|22|28|29|30|34|35|41|42|,118,192,178,22.086885ms
1,1|4|8|10|13|18|22|28|29|30|34|35|41|42|,118,192,180,22.130935ms
1,1|4|8|10|12|15|18|21|22|29|30|34|38|41|42|,117,192,181,22.085844ms
1,1|4|8|10|12|15|18|21|22|29|30|34|38|41|42|,117,192,183,22.10058ms
1,1|4|8|10|14|15|18|22|28|29|30|34|35|41|42|,120,196,186,22.314829ms
1,1|4|8|10|14|15|18|22|28|29|30|34|35|41|42|,120,196,188,22.117252ms
1,1|4|8|10|14|15|18|22|28|29|30|34|35|41|42|,120,196,189,22.090467ms
1,1|4|8|10|14|15|18|22|28|29|30|34|35|41|42|,120,196,189,22.11771ms
1,1|4|7|8|10|15|18|22|25|30|34|38|40|42|,120,198,190,22.089773ms
1,4|8|10|12|15|18|19|21|22|24|27|29|30|34|35|42|,120,198,191,22.084491ms
1,4|8|10|12|15|18|19|21|22|24|27|29|30|34|35|42|,120,198,191,22.113636ms
1,4|8|10|12|15|18|19|21|22|24|27|29|30|34|35|42|,120,198,191,22.093198ms
1,1|4|9|15|18|22|29|30|34|37|38|41|42|,120,199,192,22.072822ms
1,1|4|9|15|18|22|29|30|34|37|38|41|42|,120,199,193,22.175776ms
1,1|4|9|15|18|22|29|30|34|37|38|41|42|,120,199,194,22.087756ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,194,22.090314ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,195,22.130301ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,196,22.087344ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,196,22.097756ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,197,22.119379ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,197,22.11271ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,197,22.097681ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,198,22.167811ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,199,22.102375ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,199,22.085472ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,199,22.123361ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,199,22.098734ms
1,4|8|9|10|12|14|15|18|19|22|29|30|34|38|41|42|,119,205,199,22.077633ms
1,4|8|9|10|12|15|18|22|25|30|34|38|40|42|,120,206,200,22.121186ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,201,22.085508ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,201,22.081259ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,202,22.199955ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,202,22.082138ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,203,22.083711ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,203,22.120145ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,203,22.088081ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,203,22.06719ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,204,22.109991ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,204,22.15653ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,204,22.067119ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,205,22.16362ms
1,4|7|9|10|15|18|22|25|29|30|34|38|40|42|,120,208,205,22.090703ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,206,22.067514ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,206,22.106045ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,206,22.105933ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.074042ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.108922ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.08175ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.066ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.197066ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.116691ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.069367ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.092ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,207,22.086619ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.073916ms
1,4|7|9|10|15|18|22|24|29|30|34|38|40|42|,119,209,208,22.107092ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.087145ms
1,4|7|9|10|15|18|22|24|29|30|34|38|40|42|,119,209,208,22.063437ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.085411ms
1,4|7|9|10|15|18|22|24|29|30|34|38|40|42|,119,209,208,22.052751ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.054933ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.167708ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.072766ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.079439ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.100912ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.074391ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.087571ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.126649ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.116379ms
1,4|9|15|18|22|24|25|29|30|34|38|40|42|,117,209,208,22.461071ms
1,4|9|10|15|18|22|24|25|29|30|34|38|40|42|,118,210,208,22.191008ms
1,4|9|14|15|18|22|24|25|29|30|34|38|40|42|,120,211,209,22.511566ms
1,4|9|15|18|22|24|25|28|29|30|34|38|40|42|,120,211,209,22.171919ms
1,4|9|15|18|22|24|25|28|29|30|34|38|40|42|,120,211,209,22.221183ms
1,4|9|15|18|22|24|25|28|29|30|34|38|40|42|,120,211,209,22.404823ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,209,22.102104ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,209,22.159008ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.059369ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.073421ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.190755ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.094385ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.081215ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.175674ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.097146ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,210,22.084416ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,211,22.139147ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,211,22.091243ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,211,22.096891ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,211,22.190404ms
1,4|8|9|18|22|24|25|29|30|34|38|40|42|,119,212,211,22.112852ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.080109ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.307217ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.162736ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.138488ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.167136ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,211,22.218648ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.091476ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.18404ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.140477ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.045132ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.156615ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.905989ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.199192ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.187432ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.071963ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.074019ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.165198ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.099082ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.049304ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.18267ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.0417ms
1,4|8|9|10|18|22|24|25|29|30|34|38|40|42|,120,213,212,22.058023ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.125702ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.061179ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.053319ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.12965ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.047448ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.045609ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.126915ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.06644ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.061302ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.076641ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.047774ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.064188ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.12242ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.090105ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.092144ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.125978ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.096675ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.099657ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.167291ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.109062ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.0942ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.125582ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.088984ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.095134ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,213,22.20162ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.106706ms
1,4|8|9|10|15|18|24|25|29|30|34|38|40|42|,120,214,213,22.090682ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,214,22.094884ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,214,22.194511ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,214,22.080646ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,214,22.149387ms
1,4|9|10|18|19|22|24|25|29|30|34|38|40|42|,120,214,214,22.092314ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.078674ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.104163ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.082983ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.063934ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.089515ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.094111ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.053894ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.139996ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.047559ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.085605ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.107799ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.095585ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.082366ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.120358ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.091281ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.101654ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.187877ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.082365ms
