sample,bestValue,bestWeight,bestFitness,average,time
1,1|7|8|9|12|14|17|18|19|22|27|29|30|33|35|38|42|,119,179,120,0
1,1|7|8|9|12|14|17|18|19|22|27|29|30|33|35|38|42|,119,179,138,45.306882ms
1,1|7|8|9|12|14|17|18|19|22|27|29|30|33|35|38|42|,119,179,148,46.751185ms
1,1|7|8|9|12|14|17|18|19|22|27|29|30|33|35|38|42|,119,179,156,45.797065ms
1,6|8|9|12|14|15|17|18|19|22|27|29|30|33|35|38|42|,119,184,162,45.495346ms
1,6|8|9|12|14|15|17|18|19|22|27|29|30|33|35|38|42|,119,184,166,45.867664ms
1,1|7|8|10|18|19|22|25|29|30|33|34|41|42|,119,190,170,45.2869ms
1,1|7|8|10|18|19|22|25|29|30|33|34|41|42|,119,190,173,45.483727ms
1,7|8|12|14|15|18|19|29|30|35|38|40|42|,118,193,175,45.233392ms
1,7|8|12|14|15|18|19|29|30|35|38|40|42|,118,193,178,45.274313ms
1,6|8|9|12|14|15|18|19|29|30|35|38|40|42|,119,199,181,45.395087ms
1,6|8|9|12|14|15|18|19|29|30|35|38|40|42|,119,199,183,45.042243ms
1,6|8|9|12|14|15|18|19|29|30|35|38|40|42|,119,199,185,45.282897ms
1,8|9|12|14|15|18|19|22|29|30|35|38|40|42|,118,200,187,45.022882ms
1,8|9|12|14|15|18|19|22|29|30|35|38|40|42|,118,200,189,45.003677ms
1,8|9|12|14|15|18|19|22|29|30|35|38|40|42|,118,200,190,45.282975ms
1,8|9|12|14|15|18|19|22|29|30|35|38|40|42|,118,200,191,45.427943ms
1,1|15|18|29|30|33|34|38|40|42|,120,201,192,45.267019ms
1,8|9|10|12|14|15|18|19|22|29|30|35|38|40|42|,119,201,193,45.621244ms
1,1|15|18|29|30|33|34|38|40|42|,120,201,195,45.278746ms
1,1|15|18|29|30|33|34|38|40|42|,120,201,196,45.512207ms
1,15|18|24|29|30|33|34|38|40|42|,119,204,197,45.308369ms
1,15|18|24|29|30|33|34|38|40|42|,119,204,198,45.396008ms
1,9|14|15|18|19|29|30|33|34|40|42|,120,206,199,45.364435ms
1,9|14|15|18|19|29|30|33|34|40|42|,120,206,199,45.090343ms
1,9|14|15|18|19|29|30|33|34|40|42|,120,206,200,45.672482ms
1,4|8|9|12|14|15|18|19|22|29|30|35|38|40|42|,120,208,200,45.512993ms
1,4|8|9|12|14|15|18|19|22|29|30|35|38|40|42|,120,208,200,45.6223ms
1,4|8|9|12|14|15|18|19|22|29|30|35|38|40|42|,120,208,201,45.109705ms
1,4|8|9|12|14|15|18|19|22|29|30|35|38|40|42|,120,208,202,45.29791ms
1,4|15|18|29|30|33|34|38|40|42|,119,208,202,45.425939ms
1,4|9|15|18|19|29|30|33|34|40|42|,119,212,203,45.446498ms
1,4|9|15|18|19|29|30|33|34|40|42|,119,212,203,45.758263ms
1,4|9|15|18|19|29|30|33|34|40|42|,119,212,204,45.305989ms
1,4|9|15|18|19|29|30|33|34|40|42|,119,212,205,45.508626ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,206,45.282069ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,206,45.255339ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,207,45.362527ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,207,45.179417ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,208,45.454796ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,208,45.59629ms
1,4|9|15|18|29|30|33|34|38|40|42|,120,213,208,45.079872ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,209,45.776018ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,209,45.496074ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,209,45.548962ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,210,45.470951ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,210,45.387611ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,210,45.427266ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,210,45.140961ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,211,45.341283ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,211,45.341506ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,211,45.581372ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,212,45.467006ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,212,45.259748ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,212,45.552029ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,212,45.256422ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,212,45.619758ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.461149ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.585984ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.339984ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.72595ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.360249ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.500069ms
1,4|9|10|15|18|19|29|30|33|34|40|42|,120,213,213,45.290796ms
1,4|9|15|18|19|29|30|34|40|41|42|,120,214,213,45.680697ms
